difficulty,id,url,qtext
1,gfThqvTg1p,http://api.classhero.com/gfThqvTg1p.jpg,1 / 1
2,HB8clJNCOR,http://api.classhero.com/HB8clJNCOR.jpg,15 * 5
3,tv1TJtc4ep,http://api.classhero.com/tv1TJtc4ep.jpg,19 - 17
4,PLgfBT5SIQ,http://api.classhero.com/PLgfBT5SIQ.jpg,35 + 11
5,4yEF6fGRaS,http://api.classhero.com/4yEF6fGRaS.jpg,12 * 6
6,Ooj5pwdurK,http://api.classhero.com/Ooj5pwdurK.jpg,3 / 2
7,CCrPczBAxt,http://api.classhero.com/CCrPczBAxt.jpg,26 - 1
8,IeKD9eNJjw,http://api.classhero.com/IeKD9eNJjw.jpg,70 - 56
9,1w4VIj7GOX,http://api.classhero.com/1w4VIj7GOX.jpg,20 * 49
10,k6AdA7gfXj,http://api.classhero.com/k6AdA7gfXj.jpg,75 + 16
11,NdrhF88beL,http://api.classhero.com/NdrhF88beL.jpg,68 * 89
12,dRfn4Lpuyv,http://api.classhero.com/dRfn4Lpuyv.jpg,97 / 5
13,cwegJsSJat,http://api.classhero.com/cwegJsSJat.jpg,2 - 1
14,kJY03j30YR,http://api.classhero.com/kJY03j30YR.jpg,42 - 1
15,l8JDe2J0Mq,http://api.classhero.com/l8JDe2J0Mq.jpg,69 / 52
16,N714TDSsuJ,http://api.classhero.com/N714TDSsuJ.jpg,98 / 36
17,BfV5YynQCc,http://api.classhero.com/BfV5YynQCc.jpg,45 * 168
18,NtFCJmG6W0,http://api.classhero.com/NtFCJmG6W0.jpg,4 * 63
19,a2dtg0EOpz,http://api.classhero.com/a2dtg0EOpz.jpg,4 / 1
20,EubxTZBnsq,http://api.classhero.com/EubxTZBnsq.jpg,93 + 69
21,V5EZokCTvM,http://api.classhero.com/V5EZokCTvM.jpg,122 + 199
22,cpeaFx93JI,http://api.classhero.com/cpeaFx93JI.jpg,97 * 23
23,5jo7zIubfQ,http://api.classhero.com/5jo7zIubfQ.jpg,208 + 110
24,8kLwITUeD9,http://api.classhero.com/8kLwITUeD9.jpg,69 * 205
25,NTVWRqgev5,http://api.classhero.com/NTVWRqgev5.jpg,80 + 22
26,42jbuL1WEw,http://api.classhero.com/42jbuL1WEw.jpg,92 * 169
27,hAyIrifD9q,http://api.classhero.com/hAyIrifD9q.jpg,238 - 85
28,AbGSSBQUkf,http://api.classhero.com/AbGSSBQUkf.jpg,252 - 116
29,e2s23QglJR,http://api.classhero.com/e2s23QglJR.jpg,179 / 137
30,9AeMVi8sJh,http://api.classhero.com/9AeMVi8sJh.jpg,80 * 241
31,ZZ7ygoUZBs,http://api.classhero.com/ZZ7ygoUZBs.jpg,307 + 60
32,E4mDwaSzz7,http://api.classhero.com/E4mDwaSzz7.jpg,243 - 72
33,s5FPGfjE69,http://api.classhero.com/s5FPGfjE69.jpg,230 / 14
34,LktJ60Ki4S,http://api.classhero.com/LktJ60Ki4S.jpg,30 / 12
