difficulty,id,url,qtext
1,r359uOhU1i,http://api.classhero.com/r359uOhU1i.jpg,4 + 8
15,uLn3hOvZ1h,http://api.classhero.com/uLn3hOvZ1h.jpg,117 / 44
24,L1k3KHDR2o,http://api.classhero.com/L1k3KHDR2o.jpg,52 + 158
30,eRBjiAfl2E,http://api.classhero.com/eRBjiAfl2E.jpg,212 + 99
35,SzuCS4vSer,http://api.classhero.com/SzuCS4vSer.jpg,282 + 129
39,6aIAiWLMC1,http://api.classhero.com/6aIAiWLMC1.jpg,20 * 257
42,aYjCWGgEG5,http://api.classhero.com/aYjCWGgEG5.jpg,257 + 238
45,37GvO2XVYJ,http://api.classhero.com/37GvO2XVYJ.jpg,18 - 1
48,raFYsd4tFs,http://api.classhero.com/raFYsd4tFs.jpg,142 / 140
50,qQld6gzFl1,http://api.classhero.com/qQld6gzFl1.jpg,452 + 397
52,S3UneBYNxT,http://api.classhero.com/S3UneBYNxT.jpg,353 - 123
54,F6CB60WSaD,http://api.classhero.com/F6CB60WSaD.jpg,427 * 348
56,1q9Eyulgpu,http://api.classhero.com/1q9Eyulgpu.jpg,507 / 420
57,eNjTguU2Xx,http://api.classhero.com/eNjTguU2Xx.jpg,521 * 533
59,WQXrwFas6N,http://api.classhero.com/WQXrwFas6N.jpg,63 - 61
60,4txyxVYsuf,http://api.classhero.com/4txyxVYsuf.jpg,574 + 138
62,Vugpk3NQgE,http://api.classhero.com/Vugpk3NQgE.jpg,27 + 105
63,TfTcHxTdFs,http://api.classhero.com/TfTcHxTdFs.jpg,449 * 168
64,e2fKlFJnaT,http://api.classhero.com/e2fKlFJnaT.jpg,369 * 515
65,BCxMARQcIo,http://api.classhero.com/BCxMARQcIo.jpg,516 - 4
66,ETZ58sqDl9,http://api.classhero.com/ETZ58sqDl9.jpg,347 - 49
67,FzfABd3H5K,http://api.classhero.com/FzfABd3H5K.jpg,461 * 260
68,oGzquT7AZ3,http://api.classhero.com/oGzquT7AZ3.jpg,278 / 476
69,aetrrjkZve,http://api.classhero.com/aetrrjkZve.jpg,239 - 669
70,kpF5UGQHNC,http://api.classhero.com/kpF5UGQHNC.jpg,697 - 178
71,8WZBUJAk8a,http://api.classhero.com/8WZBUJAk8a.jpg,196 / 618
72,fpDToA7ikb,http://api.classhero.com/fpDToA7ikb.jpg,220 - 634
72,5h4RqxWTxK,http://api.classhero.com/5h4RqxWTxK.jpg,85 / 392
73,DiCLz2dJE3,http://api.classhero.com/DiCLz2dJE3.jpg,386 * 307
74,STktijWZrx,http://api.classhero.com/STktijWZrx.jpg,719 / 275
75,HlRJA7aLqk,http://api.classhero.com/HlRJA7aLqk.jpg,483 + 737
75,kiUjESe7rX,http://api.classhero.com/kiUjESe7rX.jpg,337 + 30
76,zpiRYnNbYW,http://api.classhero.com/zpiRYnNbYW.jpg,653 * 87
77,gkusylUHSj,http://api.classhero.com/gkusylUHSj.jpg,396 / 585
77,cvx19VNv9s,http://api.classhero.com/cvx19VNv9s.jpg,192 * 3
78,UXYVoSX9PB,http://api.classhero.com/UXYVoSX9PB.jpg,82 * 99
78,LCQ925OeBB,http://api.classhero.com/LCQ925OeBB.jpg,708 + 377
79,w6PVeqy7tO,http://api.classhero.com/w6PVeqy7tO.jpg,741 / 755
80,jchnc6aVdd,http://api.classhero.com/jchnc6aVdd.jpg,677 / 383
80,mhY6RZV4GM,http://api.classhero.com/mhY6RZV4GM.jpg,719 + 319
81,TYEh6ivYtA,http://api.classhero.com/TYEh6ivYtA.jpg,793 * 717
81,xy6fxYEZBp,http://api.classhero.com/xy6fxYEZBp.jpg,245 * 809
82,Bqwx9kIWnm,http://api.classhero.com/Bqwx9kIWnm.jpg,673 / 470
82,b0CUWLlSma,http://api.classhero.com/b0CUWLlSma.jpg,439 * 790
83,IXHmRvOaBW,http://api.classhero.com/IXHmRvOaBW.jpg,81 + 676
83,wmzMiUPeQi,http://api.classhero.com/wmzMiUPeQi.jpg,744 - 784
84,bZml1lNyDq,http://api.classhero.com/bZml1lNyDq.jpg,6 - 830
84,cdFX8Of6T3,http://api.classhero.com/cdFX8Of6T3.jpg,645 / 671
85,0HzhMtgjF4,http://api.classhero.com/0HzhMtgjF4.jpg,767 + 738
85,w4gQR6zjVD,http://api.classhero.com/w4gQR6zjVD.jpg,680 / 131
85,UFE1dIJDy0,http://api.classhero.com/UFE1dIJDy0.jpg,484 - 479
86,Z3Q9Az20Oa,http://api.classhero.com/Z3Q9Az20Oa.jpg,452 * 134
86,tbuLTU9Pik,http://api.classhero.com/tbuLTU9Pik.jpg,75 - 301
87,dqwAYGk421,http://api.classhero.com/dqwAYGk421.jpg,72 - 783
87,MQcwtDEuIW,http://api.classhero.com/MQcwtDEuIW.jpg,39 / 278
87,EIibzJSrqN,http://api.classhero.com/EIibzJSrqN.jpg,542 / 171
88,LV0EX053jv,http://api.classhero.com/LV0EX053jv.jpg,283 * 63
88,x32ekqtWRO,http://api.classhero.com/x32ekqtWRO.jpg,869 * 711
89,a6h7twEJI5,http://api.classhero.com/a6h7twEJI5.jpg,205 - 380
89,i79YawSgJL,http://api.classhero.com/i79YawSgJL.jpg,736 * 571
89,DQm4JSk1ol,http://api.classhero.com/DQm4JSk1ol.jpg,346 + 260
90,ggSELq7U45,http://api.classhero.com/ggSELq7U45.jpg,335 / 708
90,tLk5wAATku,http://api.classhero.com/tLk5wAATku.jpg,638 * 286
90,07pIWWnuCV,http://api.classhero.com/07pIWWnuCV.jpg,243 + 680
91,C9PBKpxT3C,http://api.classhero.com/C9PBKpxT3C.jpg,81 + 452
91,Ehj0Wj8GU7,http://api.classhero.com/Ehj0Wj8GU7.jpg,608 + 73
91,sbhKpTaxaG,http://api.classhero.com/sbhKpTaxaG.jpg,479 * 193
92,MjiFCdpqk3,http://api.classhero.com/MjiFCdpqk3.jpg,667 + 323
92,DyvLVbdVa1,http://api.classhero.com/DyvLVbdVa1.jpg,146 + 62
92,snyz1GPdV8,http://api.classhero.com/snyz1GPdV8.jpg,810 * 800
93,1k62dOP4Pl,http://api.classhero.com/1k62dOP4Pl.jpg,53 * 67
93,pd8WQ6JFwm,http://api.classhero.com/pd8WQ6JFwm.jpg,433 / 465
93,njOs6wKXlQ,http://api.classhero.com/njOs6wKXlQ.jpg,217 / 761
93,nFjiGjrezi,http://api.classhero.com/nFjiGjrezi.jpg,859 * 107
94,5OY8ct1ppL,http://api.classhero.com/5OY8ct1ppL.jpg,113 * 221
94,6eYMr1Bjcf,http://api.classhero.com/6eYMr1Bjcf.jpg,711 - 877
94,1GdhhlvIKN,http://api.classhero.com/1GdhhlvIKN.jpg,492 - 420
95,eAPM7UTeqS,http://api.classhero.com/eAPM7UTeqS.jpg,585 - 682
95,dBmAkOiV8v,http://api.classhero.com/dBmAkOiV8v.jpg,496 + 35
95,ClHgZG6NP6,http://api.classhero.com/ClHgZG6NP6.jpg,81 + 411
95,MH1lWn6ydK,http://api.classhero.com/MH1lWn6ydK.jpg,626 / 657
96,wyZPisnjqL,http://api.classhero.com/wyZPisnjqL.jpg,255 - 250
96,FWo2lsaKUW,http://api.classhero.com/FWo2lsaKUW.jpg,403 - 377
96,Ph4wIYs2pf,http://api.classhero.com/Ph4wIYs2pf.jpg,183 * 772
96,Kw4MchUSFb,http://api.classhero.com/Kw4MchUSFb.jpg,865 + 328
97,erY3cl39sa,http://api.classhero.com/erY3cl39sa.jpg,218 + 113
97,OLjnDDToBb,http://api.classhero.com/OLjnDDToBb.jpg,115 - 10
97,WpC5wbHZHP,http://api.classhero.com/WpC5wbHZHP.jpg,499 / 211
97,y2jWPwLjl1,http://api.classhero.com/y2jWPwLjl1.jpg,179 - 676
98,jr3Y5pKKMh,http://api.classhero.com/jr3Y5pKKMh.jpg,651 - 762
98,DYkYQjPyX2,http://api.classhero.com/DYkYQjPyX2.jpg,760 - 459
98,CFuINGRZv0,http://api.classhero.com/CFuINGRZv0.jpg,849 + 957
98,Q87MkhM6In,http://api.classhero.com/Q87MkhM6In.jpg,303 + 835
99,N8mVvofySE,http://api.classhero.com/N8mVvofySE.jpg,30 * 671
99,ejFc2Fjwlf,http://api.classhero.com/ejFc2Fjwlf.jpg,433 * 113
99,vJKot66W1U,http://api.classhero.com/vJKot66W1U.jpg,889 + 249
99,MayVmC3OeE,http://api.classhero.com/MayVmC3OeE.jpg,346 - 327
100,6NiSLFnN85,http://api.classhero.com/6NiSLFnN85.jpg,13 - 487
100,lYiZe48z6U,http://api.classhero.com/lYiZe48z6U.jpg,165 + 939
100,3eV9rfGy04,http://api.classhero.com/3eV9rfGy04.jpg,452 + 934
1,5tWxk82jl8,http://api.classhero.com/5tWxk82jl8.jpg,3 - 2
15,FeCm85ohUs,http://api.classhero.com/FeCm85ohUs.jpg,140 - 80
24,vYWtKVPm59,http://api.classhero.com/vYWtKVPm59.jpg,87 / 68
30,fK5J2d4AqY,http://api.classhero.com/fK5J2d4AqY.jpg,119 + 156
35,fReJoPMx1D,http://api.classhero.com/fReJoPMx1D.jpg,135 - 35
39,t5l8Ebx2Hp,http://api.classhero.com/t5l8Ebx2Hp.jpg,332 - 79
42,RoFKIMSNt1,http://api.classhero.com/RoFKIMSNt1.jpg,47 * 351
45,3jBbYKJUuW,http://api.classhero.com/3jBbYKJUuW.jpg,408 * 143
48,CQEafX7hNX,http://api.classhero.com/CQEafX7hNX.jpg,205 + 366
50,TwiIuImJZh,http://api.classhero.com/TwiIuImJZh.jpg,363 / 81
